TimeStamp;estação;região;Avg_precipitacao_total_hr;Max_temperatura_maxima;Min_temperatura_minima;Max_umidade_rel_max;Min_umidade_rel_min;seco;s;ne;n;sin
2013-04-01;Outono;N;0.269912783949015;33.23;22.34;95.14286;44.5;38089;11042;9697;4302;63129
2013-04-01;Outono;N/A;0;34.8;24.3;72;38;38089;11042;9697;4302;63129
2013-04-01;Outono;NE;5.39668926115458e-02;34.38;20.56667;90.4;34.33333;38089;11042;9697;4302;63129
2013-04-01;Outono;S;0.179063572127941;30.03333;17.32353;91.47059;52.23809;38089;11042;9697;4302;63129
2013-04-01;Outono;SECO;8.43760684986288e-02;33.24615;18.00417;96.4;42;38089;11042;9697;4302;63129
2013-04-02;Outono;N;0.180280219336661;33.64;21.89;95.15385;39.5;39305;11320;10048;4367;65039
2013-04-02;Outono;N/A;0;33.7;25.9;70;42;39305;11320;10048;4367;65039
2013-04-02;Outono;NE;4.85447695634017e-02;33.9;21.26;90.8;36.3;39305;11320;10048;4367;65039
2013-04-02;Outono;S;0.575939935069376;26.00278;18.41765;94.82353;64.27778;39305;11320;10048;4367;65039
2013-04-02;Outono;SECO;0.255175095410474;32.43333;18.75;95.8;45.36842;39305;11320;10048;4367;65039
2013-04-03;Outono;N;0.223438451283922;33.4;21.69;94.21429;44.6;38995;11367;10112;4365;64839
2013-04-03;Outono;N/A;0;34.5;25.6;72;34;38995;11367;10112;4365;64839
2013-04-03;Outono;NE;3.49996239723017e-02;33.44375;21.30909;89.8;34.2;38995;11367;10112;4365;64839
2013-04-03;Outono;S;0.22464908706671;26.12222;18.31176;95.66666;66.51428;38995;11367;10112;4365;64839
2013-04-03;Outono;SECO;0.272040843216625;32.23333;18.3;96.5;42;38995;11367;10112;4365;64839
2013-04-04;Outono;N;0.173932698027541;32.74445;22.9;94.85714;48.44444;39141;11333;10135;4362;64973
2013-04-04;Outono;N/A;0;35.3;24.9;73;33;39141;11333;10135;4362;64973
2013-04-04;Outono;NE;9.81307594362685e-02;33.58;21.03529;92.2;37.2;39141;11333;10135;4362;64973
2013-04-04;Outono;S;0.712254898907203;26.33809;19.06471;94.82353;70.47619;39141;11333;10135;4362;64973
2013-04-04;Outono;SECO;0.211106377937055;32.15;18.05;96.66666;48.52632;39141;11333;10135;4362;64973
2013-04-05;Outono;N;0.330811384133995;32.28461;21.7;94.92857;54.55556;39010;10620;10186;4318;64134
2013-04-05;Outono;N/A;0;33.4;25.3;76;41;39010;10620;10186;4318;64134
2013-04-05;Outono;NE;5.25596092265914e-02;34.21667;21.65;92;32.3;39010;10620;10186;4318;64134
2013-04-05;Outono;S;0.647306196805504;25.41905;16.12857;94.85714;49.48649;39010;10620;10186;4318;64134
2013-04-05;Outono;SECO;0.322214920279415;32.01667;17.45;96.4;50.11111;39010;10620;10186;4318;64134
2013-04-06;Outono;N;0.331842675052273;32.40769;22.2;95;56;36056;9171;9729;4183;59140
2013-04-06;Outono;N/A;0;34.6;25;74;37;36056;9171;9729;4183;59140
2013-04-06;Outono;NE;3.57402389102693e-02;35.1;22.02857;91.66666;32.5;36056;9171;9729;4183;59140
2013-04-06;Outono;S;3.32565416853564e-02;26.57027;12.36471;94.80952;40.58823;36056;9171;9729;4183;59140
2013-04-06;Outono;SECO;0.229882064316189;33.03333;18.65;96.5;44;36056;9171;9729;4183;59140
2013-04-07;Outono;N;0.297043893362085;33.47143;21.32222;95.33334;53.28571;32332;7932;9049;3992;53305
2013-04-07;Outono;N/A;0;35.6;25.2;72;33;32332;7932;9049;3992;53305
2013-04-07;Outono;NE;0.125472108086493;35.58333;22.67143;91.4;31.1;32332;7932;9049;3992;53305
2013-04-07;Outono;S;2.16309835668653e-02;25.58095;13.12778;94.95;46.75676;32332;7932;9049;3992;53305
2013-04-07;Outono;SECO;0.294507021848888;31.5;18.05;97;52.5;32332;7932;9049;3992;53305
2013-04-08;Outono;N;0.351326075553273;33.05833;22.2375;95.125;53.11111;37589;10600;10094;4261;62545
2013-04-08;Outono;N/A;0;36.2;25.2;69;32;37589;10600;10094;4261;62545
2013-04-08;Outono;NE;6.83330763907482e-02;34.48333;22.57333;93.4;36.5;37589;10600;10094;4261;62545
